date,ind,rain,ind,maxt,ind,mint,gmin,soil
01-Jan-20,0,0.1,0,9.3,0,0.2, , 
02-Jan-20,0,2.1,0,11.9,0,6.6, , 
03-Jan-20,0,1,0,8.6,0,5.1, , 
04-Jan-20,0,0.4,0,9.8,0,5.6, , 
05-Jan-20,0,0.5,0,12.6,0,7.3, , 
06-Jan-20,0,3.6,0,12.4,0,8.4, , 
07-Jan-20,0,3.6,0,14.2,0,5.7, , 
08-Jan-20,0,0.5,0,7.4,0,5.3, , 
09-Jan-20,0,0.8,0,6.3,0,2, , 
10-Jan-20,0,14,0,12.8,0,2, , 
11-Jan-20,0,7.1,0,9.9,0,3, , 
12-Jan-20,0,0.1,0,8.1,0,4.6, , 
13-Jan-20,0,9.2,0,8.7,0,4, , 
14-Jan-20,0,5.2,0,5.4,0,2.3, , 
15-Jan-20,0,2,0,9.6,0,2.6, , 
16-Jan-20,0,2.3,0,10.6,0,3.3, , 
17-Jan-20,0,2.2,0,6.8,0,2.6, , 
18-Jan-20,0,0,0,6.7,0,0.3, , 
19-Jan-20,0,0.1,0,8.4,0,0.4, , 
20-Jan-20,0,0.2,0,10.6,0,2.6, , 
21-Jan-20,0,0.3,0,9.8,0,7, , 
22-Jan-20,0,0.1,0,9.8,0,8, , 
23-Jan-20,0,0,0,9.6,0,5.6, , 
24-Jan-20,0,0,0,9.6,0,7, , 
25-Jan-20,0,6.1,0,8.9,0,6.2, , 
26-Jan-20,0,2.5,0,6.7,0,4, , 
27-Jan-20,0,6.7,0,4,0,1.6, , 
28-Jan-20,0,14,0,7.1,0,0.5, , 
29-Jan-20,0,0.4,0,10,0,2.5, , 
30-Jan-20,0,1.6,0,11,0,6.9, , 
31-Jan-20,0,1.5,0,12.2,0,7.1, , 
01-Feb-20,0,1.9,0,9.7,0,7.3, , 
02-Feb-20,0,3.7,0,11.9,0,4.6, , 
03-Feb-20,0,4.3,0,7.3,0,4.3, , 
04-Feb-20,4,0,0,9.1,0,3.4, , 
05-Feb-20,0,0,0,9.6,0,1.8, , 
06-Feb-20,0,0,0,9.7,0,3.3, , 
07-Feb-20,0,5.6,0,9.9,0,3.8, , 
08-Feb-20,0,39.2,0,11.1,0,3.4, , 
09-Feb-20,0,8.5,0,11.1,0,4.9, , 
10-Feb-20,0,4.3,0,6.3,0,1.8, , 
11-Feb-20,0,7.2,0,5.4,0,1.7, , 
12-Feb-20,0,9.8,0,7.1,0,1, , 
13-Feb-20,0,2.2,0,9.6,0,2.1, , 
14-Feb-20,0,3.9,0,10.7,0,2.2, , 
15-Feb-20,0,16.9,0,9.8,0,4.4, , 
16-Feb-20,0,6.2,0,7.4,0,2.4, , 
17-Feb-20,0,7.4,0,7.1,0,2.8, , 
18-Feb-20,0,5,0,6.5,0,2.5, , 
19-Feb-20,0,23,0,10.2,0,3.1, , 
20-Feb-20,0,11.2,0,9,0,2.7, , 
21-Feb-20,0,7.2,0,11.8,0,2.5, , 
22-Feb-20,0,19.7,0,6.8,0,3, , 
23-Feb-20,0,16.9,0,7.4,0,3.3, , 
24-Feb-20,0,9.1,0,7.1,0,0.6, , 
25-Feb-20,0,9.4,0,4.6,0,1.3, , 
26-Feb-20,0,7.5,0,5.4,0,1.4, , 
27-Feb-20,0,4,0,6.8,0,0.4, , 
28-Feb-20,0,4.2,0,11.6,0,3.1, , 
29-Feb-20,0,8.5,0,7.5,0,1.1, , 
01-Mar-20,0,7.4,0,6.7,0,1.5, , 
02-Mar-20,0,9.4,0,6.1,0,0.8, , 
03-Mar-20,0,0.2,0,7.9,0,1.9, , 
04-Mar-20,0,0,0,8.4,0,0.7, , 
05-Mar-20,0,0.4,0,7.8,0,0.6, , 
06-Mar-20,0,1.4,0,10.6,0,1.9, , 
07-Mar-20,0,6.8,0,11.6,0,3.2, , 
08-Mar-20,0,8.7,0,9.2,0,4.9, , 
09-Mar-20,0,9.2,0,11,0,5.3, , 
10-Mar-20,0,4.4,0,10.2,0,5.5, , 
11-Mar-20,0,11.8,0,8.1,0,4.1, , 
12-Mar-20,0,2.2,0,7.6,0,1, , 
13-Mar-20,0,0.1,0,10.1,0,3.3, , 
14-Mar-20,0,3,0,10.8,0,5.1, , 
15-Mar-20,0,0.2,0,8.9,0,5.9, , 
16-Mar-20,0,4.5,0,9.6,0,0.2, , 
17-Mar-20,0,13,0,8.7,0,5.1, , 
18-Mar-20,0,1.5,0,7.6,0,2.6, , 
19-Mar-20,0,0.1,0,8.9,0,1.1, , 
20-Mar-20,0,0,0,10.2,1,-2.4, , 
21-Mar-20,0,1.5,0,7,0,1.6, , 
22-Mar-20,4,0,0,11.2,0,4, , 
23-Mar-20,0,0.1,0,10.4,0,6, , 
24-Mar-20,4,0,0,12.6,0,6.7, , 
25-Mar-20,0,2.1,0,11.3,0,7.6, , 
26-Mar-20,4,0,0,9.4,0,6.2, , 
27-Mar-20,0,0,0,12.4,0,1.2, , 
28-Mar-20,0,0,0,11.4,0,3.7, , 
29-Mar-20,0,0,0,8,0,0.2, , 
30-Mar-20,0,0,0,10.4,0,2.2, , 
31-Mar-20,0,0,0,10.6,0,4.7, , 
01-Apr-20,0,2.2,0,10.4,0,5, , 
02-Apr-20,0,0.7,0,10.3,0,7.1, , 
03-Apr-20,0,0.6,0,10.6,0,5.7, , 
04-Apr-20,0,0.1,0,12.4,0,6, , 
05-Apr-20,0,2.2,0,16.7,0,8, , 
06-Apr-20,0,0.6,0,12.6,0,7.1, , 
07-Apr-20,0,0.1,0,14.4,0,4.7, , 
08-Apr-20,0,0,0,14.2,0,8.7, , 
09-Apr-20,0,0,0,17.7,0,6.7, , 
10-Apr-20,0,0.8,0,18.2,0,8.3, , 
11-Apr-20,0,1,0,14.5,0,7.3, , 
12-Apr-20,0,0,0,11,0,6.3, , 
13-Apr-20,0,0,0,12.2,0,2.8, , 
14-Apr-20,0,0,0,13.3,0,2.3, , 
15-Apr-20,0,0,0,14.8,0,3.1, , 
16-Apr-20,0,0,0,16.1,0,3.5, , 
17-Apr-20,0,0,0,15.8,0,7.2, , 
18-Apr-20,0,0,0,13.3,0,6, , 
19-Apr-20,0,0,0,13.6,0,7, , 
20-Apr-20,0,0,0,16.6,0,6, , 
21-Apr-20,0,0,0,16.9,0,4.9, , 
22-Apr-20,0,0,0,18.4,0,6.3, , 
23-Apr-20,0,0,0,18.3,0,7, , 
24-Apr-20,0,0,0,20.9,0,7.1, , 
25-Apr-20,0,0,0,18.4,0,6.2, , 
26-Apr-20,0,0,0,13.4,0,6.8, , 
27-Apr-20,0,0.8,0,13.3,0,2.5, , 
28-Apr-20,4,0,0,14.4,0,3.9, , 
29-Apr-20,0,2.2,0,11.1,0,7.6, , 
30-Apr-20,0,1.5,0,11.6,0,4.9, , 
01-May-20,0,2.9,0,11.3,0,4.9, , 
02-May-20,0,0,0,13.1,0,4.8, , 
03-May-20,0,0,0,15.8,0,3, , 
04-May-20,0,0,0,16,0,1.6, , 
05-May-20,0,0,0,15.7,0,7.1, , 
06-May-20,0,0.9,0,18.7,0,5.8, , 
07-May-20,0,0.6,0,18.1,0,10, , 
08-May-20,0,0,0,18.6,0,9.5, , 
09-May-20,0,0,0,18.8,0,9.7, , 
10-May-20,0,0,0,11.8,0,8.3, , 
11-May-20,0,0.5,0,11.6,0,2.5, , 
12-May-20,4,0,0,13,0,2, , 
13-May-20,0,0,0,11.4,0,4.1, , 
14-May-20,0,0.2,0,12.2,1,-0.8, , 
15-May-20,0,1.7,0,12.7,0,7.2, , 
16-May-20,0,1,0,13.9,0,6.9, , 
17-May-20,0,2.5,0,13.3,0,9.6, , 
18-May-20,0,1.8,0,15.7,0,10.6, , 
19-May-20,0,0.1,0,18.4,0,12.6, , 
20-May-20,0,0,0,20.5,0,12.3, , 
21-May-20,0,7.8,0,18.5,0,9.2, , 
22-May-20,0,2.1,0,14,0,10.2, , 
23-May-20,0,5.6,0,13.6,0,8.2, , 
24-May-20,4,0,0,17.1,0,9.1, , 
25-May-20,0,0,0,17.6,0,8.7, , 
26-May-20,0,0,0,16.6,0,7.9, , 
27-May-20,0,0,0,21.5,0,7.6, , 
28-May-20,0,0,0,26.3,0,12.1, , 
29-May-20,0,0,0,24.6,0,13.4, , 
30-May-20,0,0,0,25.2,0,13.7, , 
31-May-20,0,0,0,23.7,0,11.3, , 
01-Jun-20,0,0,0,24.7,0,10.6, , 
02-Jun-20,0,0.4,0,16.6,0,10.1, , 
03-Jun-20,0,0.4,0,15.5,0,10.6, , 
04-Jun-20,0,0.5,0,14.2,0,9.7, , 
05-Jun-20,0,3,0,12.5,0,8.4, , 
06-Jun-20,4,0,0,11.2,0,6.3, , 
07-Jun-20,0,0,0,14.6,0,9.3, , 
08-Jun-20,4,0,0,14.3,0,4.6, , 
09-Jun-20,0,3,0,12.7,0,5.3, , 
10-Jun-20,0,5.8,0,14.3,0,7.1, , 
11-Jun-20,0,0.1,0,16.8,0,7.1, , 
12-Jun-20,0,0.3,0,18.6,0,10.1, , 
13-Jun-20,0,0,0,19.4,0,11.4, , 
14-Jun-20,0,28.1,0,22.3,0,10.9, , 
15-Jun-20,0,0.7,0,19,0,12.6, , 
16-Jun-20,4,0,0,14.7,0,11.4, , 
17-Jun-20,0,0,0,15.6,0,12.2, , 
18-Jun-20,0,12.7,0,15.7,0,11.7, , 
19-Jun-20,0,0.3,0,14.2,0,11, , 
20-Jun-20,0,6.3,0,19.2,0,8.9, , 
21-Jun-20,0,2.4,0,16.6,0,11.2, , 
22-Jun-20,0,14.6,0,17.3,0,11, , 
23-Jun-20,0,15.7,0,17.3,0,12.1, , 
24-Jun-20,4,0,0,19.7,0,11.9, , 
25-Jun-20,0,4,0,20.9,0,11.1, , 
26-Jun-20,0,2.8,0,22.6,0,14.3, , 
27-Jun-20,0,32,0,15.9,0,12.9, , 
28-Jun-20,0,50.9,0,14.2,0,10.8, , 
29-Jun-20,0,6.3,0,13.4,0,11.1, , 
30-Jun-20,0,0.1,0,14.7,0,11.3, , 
01-Jul-20,0,0,0,15.6,0,11.7, , 
02-Jul-20,0,11.8,0,15.4,0,9.2, , 
03-Jul-20,0,10.5,0,14.7,0,10.7, , 
04-Jul-20,0,4.6,0,15.9,0,11.4, , 
05-Jul-20,0,3,0,14.4,0,10.7, , 
06-Jul-20,0,2.4,0,15.2,0,11.1, , 
07-Jul-20,0,0.2,0,14.7,0,9.9, , 
08-Jul-20,0,4.3,0,15.2,0,11.1, , 
09-Jul-20,0,0.2,0,16.8,0,6.9, , 
10-Jul-20,0,1.5,0,15.8,0,9.1, , 
11-Jul-20,0,0.1,0,16.3,0,9.1, , 
12-Jul-20,0,0.8,0,16,0,8.9, , 
13-Jul-20,0,0.7,0,16,0,12.5, , 
14-Jul-20,0,9.3,0,13.1,0,11.2, , 
15-Jul-20,0,0.6,0,15.5,0,12.2, , 
16-Jul-20,0,4.8,0,21.5,0,12.5, , 
17-Jul-20,0,0.6,0,15,0,12.3, , 
18-Jul-20,0,0.3,0,15.8,0,10.4, , 
19-Jul-20,4,0,0,15.9,0,9.8, , 
20-Jul-20,0,0,0,16.3,0,9, , 
21-Jul-20,0,12.2,0,18,0,11.5, , 
22-Jul-20,0,13.9,0,17.6,0,13.4, , 
23-Jul-20,4,0,0,16.2,0,13.8, , 
24-Jul-20,0,12.7,0,17.2,0,12.5, , 
25-Jul-20,0,10.1,0,17.5,0,13.1, , 
26-Jul-20,0,16,0,17.3,0,12, , 
27-Jul-20,0,0.9,0,16.2,0,11.3, , 
28-Jul-20,0,0.3,0,15.3,0,10.7, , 
29-Jul-20,0,10.6,0,17.6,0,9.4, , 
30-Jul-20,0,9.4,0,19.4,0,13.2, , 
31-Jul-20,0,3.3,0,20.7,0,15.2, , 
01-Aug-20,0,14.9,0,16.2,0,11.9, , 
02-Aug-20,0,2.8,0,16.1,0,11.3, , 
03-Aug-20,0,3.1,0,16.8,0,10.1, , 
04-Aug-20,0,3.8,0,18.2,0,11.9, , 
05-Aug-20,0,4.5,0,17.5,0,13.9, , 
06-Aug-20,0,0.1,0,20.7,0,13.3, , 
07-Aug-20,0,0.6,0,18.1,0,15.8, , 
08-Aug-20,0,0,0,22.1,0,9, , 
09-Aug-20,0,0,0,21.7,0,11.5, , 
10-Aug-20,0,2.8,0,21.4,0,14.9, , 
11-Aug-20,0,0,0,22.4,0,13.1, , 
12-Aug-20,0,0,0,23.4,0,13.6, , 
13-Aug-20,0,0,0,26.2,0,13.1, , 
14-Aug-20,0,0,0,25.1,0,15.4, , 
15-Aug-20,0,0,0,23.2,0,15.1, , 
16-Aug-20,0,0.9,0,22.2,0,14.8, , 
17-Aug-20,0,14.1,0,18.9,0,15, , 
18-Aug-20,0,0.9,0,19.5,0,14.4, , 
19-Aug-20,0,7.5,0,19.7,0,13.5, , 
20-Aug-20,0,5.9,0,20.8,0,13, , 
21-Aug-20,0,2.8,0,18.2,0,13.3, , 
22-Aug-20,0,8.3,0,17.8,0,12.5, , 
23-Aug-20,4,0,0,16.6,0,13.3, , 
24-Aug-20,0,15.3,0,17.2,0,8.9, , 
25-Aug-20,0,6.7,0,16,0,13.2, , 
26-Aug-20,0,2.1,0,17.9,0,12.2, , 
27-Aug-20,0,1,0,15.6,0,12.3, , 
28-Aug-20,0,0,0,16.5,0,12.2, , 
29-Aug-20,0,0,0,14.5,0,9.3, , 
30-Aug-20,0,0,0,15.7,0,8.4, , 
31-Aug-20,0,1.4,0,18.7,0,10.2, , 
01-Sep-20,0,24.5,0,19.3,0,12.6, , 
02-Sep-20,0,8.6,0,18.5,0,13.3, , 
03-Sep-20,0,0.7,0,17.1,0,13, , 
04-Sep-20,0,6.5,0,16.1,0,11.9, , 
05-Sep-20,0,8.3,0,14.1,0,10.2, , 
06-Sep-20,0,5.5,0,16.6,0,11.7, , 
07-Sep-20,0,3.7,0,16.5,0,12.6, , 
08-Sep-20,0,5.2,0,19.6,0,15, , 
09-Sep-20,0,0,0,15.9,0,12.3, , 
10-Sep-20,0,8.4,0,14.7,0,11.1, , 
11-Sep-20,0,2.5,0,16,0,12.2, , 
12-Sep-20,0,14.1,0,17.4,0,11, , 
13-Sep-20,0,0.1,0,20.3,0,12.1, , 
14-Sep-20,0,2,0,19.5,0,13.7, , 
15-Sep-20,0,0.1,0,20.5,0,14.4, , 
16-Sep-20,0,0,0,21.4,0,15.9, , 
17-Sep-20,0,0,0,19.3,0,14.1, , 
18-Sep-20,0,0,0,19.2,0,11.2, , 
19-Sep-20,0,0,0,17.7,0,8.2, , 
20-Sep-20,0,0,0,18.3,0,5.6, , 
21-Sep-20,0,0,0,18.4,0,8, , 
22-Sep-20,0,5.1,0,16.4,0,11.8, , 
23-Sep-20,0,0,0,13.5,0,5.2, , 
24-Sep-20,0,0,0,13.7,0,5, , 
25-Sep-20,0,0,0,13.5,0,3.5, , 
26-Sep-20,0,0,0,14.2,0,1.1, , 
27-Sep-20,0,0.8,0,15.5,0,1.8, , 
28-Sep-20,0,0.2,0,14.9,0,8.6, , 
29-Sep-20,0,6.5,0,14.3,0,8.6, , 
30-Sep-20,0,1,0,12.1,0,10.6, , 
01-Oct-20,0,0,0,12.8,0,5, , 
02-Oct-20,0,0.7,0,12.5,0,2.6, , 
03-Oct-20,0,2.1,0,13.3,0,7.8, , 
04-Oct-20,0,10.6,0,13.1,0,7.7, , 
05-Oct-20,0,14.2,0,12.6,0,10.3, , 
06-Oct-20,0,0.9,0,13.3,0,9.5, , 
07-Oct-20,0,13,0,13.3,0,9.8, , 
08-Oct-20,0,1.7,0,12.2,0,8.6, , 
09-Oct-20,0,1.1,0,11.3,0,7.6, , 
10-Oct-20,0,0.3,0,12.7,0,7.4, , 
11-Oct-20,0,2.6,0,13.2,0,8.7, , 
12-Oct-20,0,3.5,0,12.6,0,8.6, , 
13-Oct-20,0,0.1,0,12.1,0,7.8, , 
14-Oct-20,0,0,0,15,0,6.6, , 
15-Oct-20,0,0,0,13.7,0,5.3, , 
16-Oct-20,0,0,0,12.1,0,3.9, , 
17-Oct-20,0,0,0,12.4,0,7.7, , 
18-Oct-20,0,0.5,0,14.4,0,6.9, , 
19-Oct-20,0,16.9,0,13.3,0,9.3, , 
20-Oct-20,0,21.8,0,13.8,0,10.7, , 
21-Oct-20,0,0.1,0,11,0,10.8, , 
22-Oct-20,0,5.8,0,10.7,0,8.3, , 
23-Oct-20,0,8.6,0,11.7,0,5.6, , 
24-Oct-20,0,1.7,0,12.2,0,7.8, , 
25-Oct-20,0,6.3,0,11.3,0,6.3, , 
26-Oct-20,0,2.3,0,11.6,0,8.2, , 
27-Oct-20,0,0.8,0,11.3,0,6, , 
28-Oct-20,0,9.7,0,11.7,0,6.7, , 
29-Oct-20,0,10.1,0,15.1,0,6.9, , 
30-Oct-20,0,15.8,0,15.6,0,6.9, , 
31-Oct-20,0,3.1,0,11,0,7.4, , 
01-Nov-20,0,18.4,0,11.4,0,7.1, , 
02-Nov-20,0,25.1,0,9.1,0,7.3, , 
03-Nov-20,0,2.4,0,9.5,0,3.6, , 
04-Nov-20,0,0.1,0,10.1,0,5.1, , 
05-Nov-20,4,0,0,10.4,0,8, , 
06-Nov-20,0,0,0,11.5,0,7.3, , 
07-Nov-20,0,7.9,0,11.1,0,4.2, , 
08-Nov-20,0,2.1,0,14.3,0,5.6, , 
09-Nov-20,0,0.3,0,14.8,0,10.8, , 
10-Nov-20,0,6.3,0,13,0,10.6, , 
11-Nov-20,0,11.4,0,13.8,0,10.6, , 
12-Nov-20,0,2.9,0,11.6,0,6.6, , 
13-Nov-20,0,0.9,0,10,0,6.3, , 
14-Nov-20,0,13.2,0,11.6,0,6.8, , 
15-Nov-20,0,1.6,0,10.8,0,7.9, , 
16-Nov-20,0,3.2,0,14,0,7.3, , 
17-Nov-20,0,10.7,0,15,0,7.4, , 
18-Nov-20,0,3.3,0,9.4,0,8.7, , 
19-Nov-20,0,5.4,0,12.5,0,3.5, , 
20-Nov-20,0,9.7,0,12.9,0,3.5, , 
21-Nov-20,0,4.1,0,10.6,0,7.9, , 
22-Nov-20,0,0.8,0,9.2,0,4.2, , 
23-Nov-20,0,14.1,0,11.6,0,4.5, , 
24-Nov-20,0,11.7,0,8,0,6.8, , 
25-Nov-20,0,2,0,8.9,0,3.6, , 
26-Nov-20,0,0.1,0,8.2,0,3.6, , 
27-Nov-20,0,0,0,8.3,0,4.3, , 
28-Nov-20,0,0.3,0,8.3,0,0.6, , 
29-Nov-20,0,3.2,0,10.3,0,3.6, , 
30-Nov-20,0,0.5,0,10.3,0,6.5, , 
01-Dec-20,0,1,0,11.1,0,5.6, , 
02-Dec-20,0,24.5,0,8.8,0,6.4, , 
03-Dec-20,0,4.1,0,3.9,0,0.8, , 
04-Dec-20,0,7.2,0,7.7,1,-1.1, , 
05-Dec-20,0,3.4,0,7,1,-1.3, , 
06-Dec-20,0,0.1,0,1.1,1,-0.8, , 
07-Dec-20,0,6.2,0,5.8,1,-1.5, , 
08-Dec-20,0,0.3,0,7.5,1,-1.4, , 
09-Dec-20,0,8.1,0,6.6,0,4.6, , 
10-Dec-20,0,3.6,0,9.3,0,5.4, , 
11-Dec-20,0,3.7,0,9.8,0,6.3, , 
12-Dec-20,0,8.6,0,8.4,0,5.1, , 
13-Dec-20,0,5.2,0,10.7,0,4.5, , 
14-Dec-20,0,0.1,0,9.6,0,8.1, , 
15-Dec-20,0,8.1,0,9.7,0,5, , 
16-Dec-20,0,2.9,0,9.3,0,5.9, , 
17-Dec-20,0,2.8,0,12.2,0,6.1, , 
18-Dec-20,0,0.6,0,12.1,0,5.9, , 
19-Dec-20,0,6.6,0,7.9,0,6.5, , 
20-Dec-20,0,1.5,0,8.1,0,5, , 
21-Dec-20,0,2.3,0,6.5,0,4.6, , 
22-Dec-20,0,0.1,0,4.8,0,1.8, , 
23-Dec-20,0,0.1,0,7.1,0,2.2, , 
24-Dec-20,4,0,0,5.9,0,3.2, , 
25-Dec-20,0,0.3,0,8.7,0,1.5, , 
26-Dec-20,0,22.6,0,9.8,0,5.9, , 
27-Dec-20,0,10.4,0,10,0,2.5, , 
28-Dec-20,0,12.9,0,7.2,0,2.5, , 
29-Dec-20,0,9.8,0,6.8,0,3.7, , 
30-Dec-20,0,2,0,3.4,0,0.5, , 
31-Dec-20,4,0,0,6.4,1,-0.7, , 
